w_mm,freq_ghz,r_ohm,l_uH,g_uS,c_pF
0.0510480331153023,0.448,55.8829083579967,1.26409035207083,12.7187837726831,11.5953811672711
0.0510480331153023,0.506,59.2192128911662,1.26300872773076,14.5805461315995,11.5949360635153
0.0510480331153023,0.564,62.3378023108453,1.26209179905619,16.3482947561897,11.5945246895764
0.0510480331153023,0.622,65.2729680426393,1.26130518655991,18.0136754137355,11.5941493361142
0.0510480331153023,0.68,68.0553168892211,1.26062286919908,19.5778842001856,11.5938096750702
0.0510480331153023,0.738,70.7106162527556,1.26002476758641,21.047850097271,11.5935038064147
0.0510480331153023,0.796,73.2596567930197,1.25949524356175,22.4335242085454,11.5932290014404
0.0510480331153023,0.854,75.7187045457567,1.25902205508611,23.7460862144645,11.5929821945545
0.0510480331153023,0.912,78.1002056656072,1.25859558046253,24.9968330358966,11.5927602880083
0.0510480331153023,0.97,80.4135389443408,1.25820822609328,26.1965400774594,11.5925603270445
0.0510480331153023,1.028,82.6657109034045,1.25785396987251,27.3551326520215,11.5923795899936
0.0510480331153023,1.086,84.8619499013539,1.2575280083946,28.4815515306841,11.5922156251397
0.0510480331153023,1.144,87.0061895888942,1.25722648451587,29.5837340264551,11.5920662559073
0.0510480331153023,1.202,89.1014487081298,1.25694627718686,30.6686595106204,11.5919295683812
0.0510480331153023,1.26,91.1501211256294,1.25668483944513,31.7424272846822,11.5918038899535
0.0510480331153023,1.318,93.1541917258293,1.25644007356124,32.810347378756,11.5916877644267
0.0510480331153023,1.376,95.1153930259027,1.25621023478612,33.877033003896,11.5915799266632
0.0510480331153023,1.434,97.0353155544657,1.2559938570848,34.9464885095635,11.5914792784674
0.0510480331153023,1.492,98.915482917236,1.25578969575766,36.0221898330433,11.5913848665261
0.0510480331153023,1.55,100.757400419449,1.25559668302886,37.107156289279,11.5912958627239
0.0510480331153023,1.608,102.562584286325,1.25541389359281,38.2040136109089,11.5912115468575
0.0510480331153023,1.666,104.332576970342,1.25524051781107,39.3150487164434,11.5911312916182
0.0510480331153023,1.724,106.068952755693,1.25507584079075,40.4422569554618,11.5910545496371
0.0510480331153023,1.782,107.773316840226,1.25491922598898,41.5873826765102,11.5909808423617
0.0510480331153023,1.84,109.447300259163,1.25477010230417,42.7519539622947,11.590909750531
0.0510480331153023,1.898,111.092552377484,1.25462795385761,43.9373123242178,11.5908409060336
0.0510480331153023,1.956,112.710732186337,1.25449231185434,45.1446380720134,11.5907739849511
0.0510480331153023,2.014,114.303499264514,1.25436274805451,46.3749719902627,11.5907087016145
0.0510480331153023,2.072,115.872504984564,1.25423886949527,47.6292338708409,11.5906448035228
0.0510480331153023,2.13,117.419384334406,1.2541203141868,48.9082383734498,11.5905820669932
0.0510480331153023,2.188,118.945748572965,1.25400674756967,50.2127086173678,11.5905202934355
0.0510480331153023,2.246,120.453178829267,1.2538978595702,51.5432878469596,11.5904593061521
0.0510480331153023,2.304,121.943220678132,1.25379336212742,52.9005494610978,11.590398947589
0.0510480331153023,2.362,123.417379673914,1.25369298709469,54.2850056517984,11.5903390769664
0.0510480331153023,2.42,124.877117790323,1.25359648444042,55.6971148592573,11.5902795682346
0.0510480331153023,2.478,126.323850694215,1.25350362068991,57.1372882182276,11.590220308307
0.0510480331153023,2.536,127.758945770673,1.25341417756287,58.6058951434879,11.5901611955275
0.0510480331153023,2.594,129.183720812868,1.25332795077131,60.1032681792704,11.590102138342
0.0510480331153023,2.652,130.599443290907,1.25324474895034,61.6297072182826,11.5900430541403
0.0510480331153023,2.71,132.007330117611,1.25316439269991,63.1854831797898,11.5899838682487
0.0510480331153023,2.768,133.408547834776,1.25308671372061,64.7708412226462,11.5899245130481
0.0510480331153023,2.826,134.804213150046,1.25301155402949,66.3860035577361,11.5898649272035
0.0510480331153023,2.884,136.195393761602,1.25293876524531,68.0311719146783,11.5898050549872
0.0510480331153023,2.942,137.583109414925,1.25286820793404,69.706529709548,11.5897448456844
0.0510480331153023,3,138.968333142735,1.25279975100755,71.4122439535397,11.5896842530702
0.0521180336988201,0.1,28.1346676101969,1.27702059828731,2.40859085660326,11.6224128972545
0.0521180336988201,0.158,33.9755976333744,1.271838297416,3.57680243011769,11.6221102760943
0.0521180336988201,0.216,39.0395756836087,1.26826917891278,5.11846385111978,11.6217132143288
0.0521180336988201,0.274,43.5694557356533,1.26571564933858,6.90935677537362,11.6212557727026
0.0521180336988201,0.332,47.7174799809512,1.26376734665817,8.83354935118804,11.6207697397891
0.0521180336988201,0.39,51.5451085796842,1.26221172960844,10.7969388616117,11.620280918586
