freqs,amp_real,amp_imag,hot_real,hot_imag,cold_real,cold_imag,sa_hot_0,sa_hot_1,sa_hot_2,sa_hot_3,sa_hot_4,sa_cold_0,sa_cold_1,sa_cold_2,sa_cold_3,sa_cold_4,dut_hot_0,dut_hot_1,dut_hot_2,dut_hot_3,dut_hot_4,dut_cold_0,dut_cold_1,dut_cold_2,dut_cold_3,dut_cold_4
1432000000.0,0.12422198326219762,-0.08411460075552081,-0.007190571729071858,-0.010963016544334953,-0.011822926141132936,-0.01577883513194176,-99.26757812,-99.24804688,-99.27246094,-99.26269531,-99.28222656,-100.2587891,-100.2929688,-100.2929688,-100.3173828,-100.3076172,-60.00976562,-60.05859375,-60.0390625,-60.03417969,-60.05859375,-65.28320312,-65.26855469,-65.23925781,-65.22460938,-65.26367188
1434000000.0,0.12401264962843542,-0.08439232059430252,-0.007250292768573939,-0.011001607383230229,-0.011677732763231963,-0.014342427074303108,-99.24316406,-99.26269531,-99.22851562,-99.22363281,-99.24804688,-100.2392578,-100.2490234,-100.3076172,-100.2685547,-100.2685547,-60.00976562,-60.04882812,-60.05371094,-60.05371094,-60.02929688,-65.26855469,-65.24414062,-65.24414062,-65.29785156,-65.22949219
1436000000.0,0.12493493916796178,-0.08715258558898893,-0.007308966071316911,-0.011035895795189403,-0.011335860553400232,-0.012982570329209152,-99.25292969,-99.24316406,-99.21386719,-99.28710938,-99.24804688,-100.2832031,-100.2783203,-100.2636719,-100.2636719,-100.2929688,-60.04882812,-60.0390625,-60.0390625,-60.04394531,-60.078125,-65.25878906,-65.24902344,-65.22949219,-65.234375,-65.20019531
1438000000.0,0.12597728541579944,-0.08914367234180708,-0.007371053058264016,-0.01107779231622961,-0.010810393044542796,-0.011725388412154711,-99.23828125,-99.2578125,-99.22851562,-99.24316406,-99.2578125,-100.2392578,-100.2587891,-100.2392578,-100.234375,-100.2490234,-60.06835938,-60.05859375,-60.02929688,-60.06347656,-60.04882812,-65.26367188,-65.23925781,-65.24414062,-65.27832031,-65.22949219
1440000000.0,0.1264384725574702,-0.08887225185665927,-0.0074378348676290085,-0.01110980876760115,-0.010122554961234518,-0.010580327018206053,-99.22851562,-99.22363281,-99.21386719,-99.23339844,-99.20898438,-100.2636719,-100.2490234,-100.2636719,-100.2392578,-100.2587891,-60.04882812,-60.05859375,-60.08300781,-60.03417969,-60.05371094,-65.28808594,-65.22460938,-65.22949219,-65.26855469,-65.23925781
1442000000.0,0.12864811407856772,-0.09141766341203264,-0.0074971955263539135,-0.011143596835415702,-0.009273058868754448,-0.009578479981050221,-99.22851562,-99.24316406,-99.24316406,-99.24804688,-99.23828125,-100.2441406,-100.2880859,-100.2880859,-100.2587891,-100.2783203,-60.02441406,-60.078125,-60.1171875,-60.0390625,-60.0390625,-65.22949219,-65.22949219,-65.25878906,-65.22949219,-65.2734375
1444000000.0,0.12822501273392206,-0.09203825548769685,-0.007559893972293196,-0.011179718348358856,-0.008302573182428642,-0.008740644152032823,-99.24316406,-99.20410156,-99.22851562,-99.23339844,-99.20410156,-100.2246094,-100.2148438,-100.2490234,-100.2490234,-100.2587891,-60.0390625,-60.00976562,-60.078125,-60.03417969,-60.02929688,-65.22949219,-65.24902344,-65.21484375,-65.25390625,-65.25390625
1446000000.0,0.1313212610791663,-0.09486765944115082,-0.007625419293584559,-0.011214740968613208,-0.007220663190953546,-0.008070643321865608,-99.23339844,-99.23339844,-99.22851562,-99.23828125,-99.27734375,-100.2294922,-100.2441406,-100.2832031,-100.2490234,-100.2441406,-60.04394531,-60.03417969,-60.06347656,-60.05371094,-60.05859375,-65.28320312,-65.25390625,-65.234375,-65.234375,-65.28320312
1448000000.0,0.13037642857569806,-0.09711542046270756,-0.00768650326794197,-0.01125005766125075,-0.006054658508877779,-0.007591662456206654,-99.23339844,-99.20898438,-99.21875,-99.21386719,-99.21875,-100.2490234,-100.2685547,-100.2734375,-100.2441406,-100.2685547,-60.04882812,-60.03417969,-60.02441406,-60.01953125,-60.04882812,-65.22949219,-65.21972656,-65.26367188,-65.26855469,-65.24902344
1450000000.0,0.1308301311153853,-0.09809972810746398,-0.007749471317360406,-0.011283455148940223,-0.004831097958381817,-0.007302581193051809,-99.23339844,-99.21386719,-99.20410156,-99.21875,-99.22363281,-100.1953125,-100.1904297,-100.2490234,-100.2441406,-100.2441406,-60.05859375,-60.04394531,-60.06347656,-60.02929688,-60.04394531,-65.28808594,-65.26367188,-65.20996094,-65.24902344,-65.234375
