freqs,amp_real,amp_imag,hot_real,hot_imag,cold_real,cold_imag,sa_hot_0,sa_hot_1,sa_hot_2,sa_hot_3,sa_hot_4,sa_cold_0,sa_cold_1,sa_cold_2,sa_cold_3,sa_cold_4,dut_hot_0,dut_hot_1,dut_hot_2,dut_hot_3,dut_hot_4,dut_cold_0,dut_cold_1,dut_cold_2,dut_cold_3,dut_cold_4
1430000000.0,-0.1557446213201321,0.17056391742956745,-0.007130085799452058,-0.010927279601837954,-0.011768788194428368,-0.01726032429944944,-99.22851562,-99.23339844,-99.22851562,-99.28222656,-99.21875,-100.2880859,-100.2685547,-100.2978516,-100.2929688,-100.2636719,-65.703125,-65.63476562,-65.68359375,-65.703125,-65.68847656,-70.91308594,-70.95703125,-70.93261719,-70.90332031,-70.92285156
1432000000.0,-0.15093257839709015,0.17192739507355773,-0.007190571729071858,-0.010963016544334953,-0.011822926141132936,-0.01577883513194176,-99.26757812,-99.24804688,-99.27246094,-99.26269531,-99.28222656,-100.2587891,-100.2929688,-100.2929688,-100.3173828,-100.3076172,-65.67382812,-65.68847656,-65.68359375,-65.65917969,-65.66894531,-70.92773438,-70.91308594,-70.91796875,-70.94726562,-70.9375
1434000000.0,-0.14709658940491677,0.1725445858085407,-0.007250292768573939,-0.011001607383230229,-0.011677732763231963,-0.014342427074303108,-99.24316406,-99.26269531,-99.22851562,-99.22363281,-99.24804688,-100.2392578,-100.2490234,-100.3076172,-100.2685547,-100.2685547,-65.66894531,-65.625,-65.6640625,-65.65429688,-65.65429688,-70.96679688,-70.92285156,-70.9375,-70.91796875,-70.92285156
1436000000.0,-0.1435912147902654,0.1736240914058119,-0.007308966071316911,-0.011035895795189403,-0.011335860553400232,-0.012982570329209152,-99.25292969,-99.24316406,-99.21386719,-99.28710938,-99.24804688,-100.2832031,-100.2783203,-100.2636719,-100.2636719,-100.2929688,-65.67382812,-65.69824219,-65.68359375,-65.68359375,-65.69335938,-70.94726562,-70.95214844,-70.94238281,-70.94238281,-70.94726562
1438000000.0,-0.1387209076720522,0.17411695909958733,-0.007371053058264016,-0.01107779231622961,-0.010810393044542796,-0.011725388412154711,-99.23828125,-99.2578125,-99.22851562,-99.24316406,-99.2578125,-100.2392578,-100.2587891,-100.2392578,-100.234375,-100.2490234,-65.69335938,-65.67382812,-65.67871094,-65.69335938,-65.69824219,-70.97167969,-70.96679688,-70.96679688,-70.9375,-70.93261719
1440000000.0,-0.13481009747410164,0.17486235023409166,-0.0074378348676290085,-0.01110980876760115,-0.010122554961234518,-0.010580327018206053,-99.22851562,-99.22363281,-99.21386719,-99.23339844,-99.20898438,-100.2636719,-100.2490234,-100.2636719,-100.2392578,-100.2587891,-65.68359375,-65.69824219,-65.69824219,-65.67871094,-65.70800781,-70.97167969,-70.98632812,-70.9765625,-70.98144531,-70.98144531
1442000000.0,-0.1307561440906022,0.17599532895533276,-0.0074971955263539135,-0.011143596835415702,-0.009273058868754448,-0.009578479981050221,-99.22851562,-99.24316406,-99.24316406,-99.24804688,-99.23828125,-100.2441406,-100.2880859,-100.2880859,-100.2587891,-100.2783203,-65.69335938,-65.703125,-65.68847656,-65.68847656,-65.67871094,-70.99121094,-71.00097656,-70.98144531,-70.95703125,-70.95214844
1444000000.0,-0.12708531846729584,0.17660654550076174,-0.007559893972293196,-0.011179718348358856,-0.008302573182428642,-0.008740644152032823,-99.24316406,-99.20410156,-99.22851562,-99.23339844,-99.20410156,-100.2246094,-100.2148438,-100.2490234,-100.2490234,-100.2587891,-65.71289062,-65.71289062,-65.72753906,-65.73730469,-65.68847656,-70.95703125,-70.9765625,-71.00097656,-70.98632812,-70.99609375
1446000000.0,-0.12287894658130022,0.17738782144058235,-0.007625419293584559,-0.011214740968613208,-0.007220663190953546,-0.008070643321865608,-99.23339844,-99.23339844,-99.22851562,-99.23828125,-99.27734375,-100.2294922,-100.2441406,-100.2832031,-100.2490234,-100.2441406,-65.72265625,-65.71777344,-65.71289062,-65.72753906,-65.73242188,-71.02539062,-71.00585938,-71.02050781,-70.97167969,-71.015625
1448000000.0,-0.1188824492065949,0.17756289489107743,-0.00768650326794197,-0.01125005766125075,-0.006054658508877779,-0.007591662456206654,-99.23339844,-99.20898438,-99.21875,-99.21386719,-99.21875,-100.2490234,-100.2685547,-100.2734375,-100.2441406,-100.2685547,-65.73730469,-65.69824219,-65.72265625,-65.70800781,-65.71777344,-71.015625,-71.02050781,-70.98632812,-70.96191406,-71.03027344
1450000000.0,-0.11515334764992378,0.17846479466962256,-0.007749471317360406,-0.011283455148940223,-0.004831097958381817,-0.007302581193051809,-99.23339844,-99.21386719,-99.20410156,-99.21875,-99.22363281,-100.1953125,-100.1904297,-100.2490234,-100.2441406,-100.2441406,-65.73242188,-65.72265625,-65.703125,-65.69824219,-65.71777344,-71.015625,-71.02050781,-70.99121094,-71.00097656,-71.00097656
1452000000.0,-0.11069434906477257,0.1780698976125891,-0.00781269836831441,-0.011317542572716104,-0.0035763050911359236,-0.007218228655989305,-99.22851562,-99.20898438,-99.20898438,-99.23339844,-99.23339844,-100.2441406,-100.2392578,-100.2636719,-100.2246094,-100.2441406,-65.73730469,-65.72753906,-65.68847656,-65.75195312,-65.73730469,-71.03515625,-71.02050781,-70.98144531,-71.03027344,-71.02050781
1454000000.0,-0.10727609876478081,0.1792737010198074,-0.007875763773663613,-0.01135305272406213,-0.002315083824570948,-0.0073317174659694815,-99.21386719,-99.21875,-99.22851562,-99.16503906,-99.21875,-100.2050781,-100.2294922,-100.2050781,-100.2099609,-100.2148438,-65.72265625,-65.72753906,-65.72753906,-65.70800781,-65.72265625,-71.015625,-71.015625,-71.03515625,-71.00585938,-71.02539062
